Enrollment for Schools & Colleges,,,,,,,,,,,,,
Years,Architecture & Urban Planning,Dentistry,Education,Engineering,Kinesiology,LSA,Music,Natural Resources & the Environment,Nursing,Pharmacy,Ross School of Business,Stamps School of Art & Design,Total
2000,529,607,648,6838,761,17396,1012,554,742,282,2720,620,38093
2001,525,612,641,6913,797,17659,978,540,720,289,2880,636,38248
2002,551,605,611,7304,776,17660,1004,431,815,291,2961,582,39608
2003,580,616,662,7305,719,17868,1037,318,841,307,2829,555,39031
2004,551,612,643,7532,811,18029,1070,254,865,316,2788,473,39533
2005,592,623,586,7519,857,18482,1112,237,836,327,2728,486,39993
2006,553,633,581,7556,804,18249,1071,233,855,351,3000,492,40025
2007,561,648,578,7686,860,18509,1037,256,907,375,3053,502,41042
2008,609,653,535,7820,857,18286,1038,283,906,386,2942,495,41028
2009,633,662,557,8250,866,18244,1043,299,924,396,2957,539,41672
2010,637,638,599,8522,913,19204,1049,356,922,413,3052,539,41924
2011,632,638,499,8823,943,19405,1092,347,980,423,3146,578,42716
2012,606,626,567,8914,952,19755,1091,367,989,429,3250,597,43378
2013,655,633,541,9107,943,19781,1105,335,1003,434,3298,607,43642
2014,668,628,527,9193,985,19646,1086,324,1007,436,3342,554,43561
2015,644,652,470,9428,1003,19338,1103,287,1069,434,3399,556,43589
2016,638,659,445,8723,1011,18290,1045,296,989,420,3198,507,40792